,from,to,method,action,result
0,X0,X17,GET,req,
1,X0,X17,GET,resp,2xx
2,X0,X23,GET,req,
3,X23,X4,GET,req,
4,X4,X11,GET,req,
5,X11,X16,GET,req,
6,X16,X12,GET,req,
7,X12,X13,GET,req,
8,X13,X9,GET,req,
9,X9,X5,GET,req,
10,X9,X5,GET,resp,2xx
