,from,to,method,action,result
0,X0,X15,GET,req,
1,X15,X12,GET,req,
2,X12,X13,GET,req,
3,X12,X13,GET,resp,2xx
4,X15,X12,GET,resp,2xx
5,X0,X15,GET,resp,2xx
6,X0,X18,GET,req,
7,X18,X14,GET,req,
8,X18,X14,GET,resp,2xx
9,X0,X18,GET,resp,2xx
10,X0,X18,GET,req,
11,X18,X3,GET,req,
12,X18,X3,GET,resp,2xx
13,X0,X18,GET,resp,2xx
14,X0,X15,GET,req,
15,X15,X12,GET,req,
16,X12,X24,GET,req,
17,X24,X7,GET,req,
18,X7,X20,GET,req,
19,X20,X10,GET,req,
20,X20,X10,GET,resp,2xx
