,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,priority_min,priority_max,path_len,path_count,sla
28,2,4,25,26,0.01,0.3,1,2,1,1,2000,1,1.6636167596701304e-37
29,2,5,25,26,0.01,0.3,1,2,1,1,2000,1,3.8332251197742395e-30
30,2,6,25,26,0.01,0.3,1,2,1,1,2000,1,1.5936200896053707e-49
31,2,7,25,26,0.01,0.3,1,2,1,1,2000,1,4.832161111966806e-52
32,2,8,25,26,0.01,0.3,1,2,1,1,2000,1,1.584973227329276e-32
33,2,9,25,26,0.01,0.3,1,2,1,1,2000,1,9.324081991253594e-25
34,2,10,25,26,0.01,0.3,1,2,1,1,2000,1,1.1999325672344767e-49
35,2,11,25,26,0.01,0.3,1,2,1,1,2000,1,7.7168044770779e-29
36,2,12,25,26,0.01,0.3,1,2,1,1,2000,1,3.1826614357961024e-33
37,2,13,25,26,0.01,0.3,1,2,1,1,2000,1,3.3745276144327323e-43
38,2,14,25,26,0.01,0.3,1,2,1,1,2000,1,2.6928125472638147e-30
39,2,15,25,26,0.01,0.3,1,2,1,1,2000,1,3.19721792243406e-26
40,2,16,25,26,0.01,0.3,1,2,1,1,2000,1,2.5428964652279172e-46
41,2,17,25,26,0.01,0.3,1,2,1,1,2000,1,8.420832910501658e-53
42,2,18,25,26,0.01,0.3,1,2,1,1,2000,1,2.2691741145297712e-34
43,2,19,25,26,0.01,0.3,1,2,1,1,2000,1,3.252112571079482e-35
44,2,20,25,26,0.01,0.3,1,2,1,1,2000,1,4.672092031553142e-31
45,2,21,25,26,0.01,0.3,1,2,1,1,2000,1,7.650497844635194e-67
46,2,22,25,26,0.01,0.3,1,2,1,1,2000,1,2.6195032233586295e-36
47,2,23,25,26,0.01,0.3,1,2,1,1,2000,1,3.770101819132387e-52
48,2,24,25,26,0.01,0.3,1,2,1,1,2000,1,2.3329887797695974e-56
49,2,25,25,26,0.01,0.3,1,2,1,1,2000,1,1.7465631495922444e-39
50,3,1,25,26,0.01,0.3,1,2,1,1,2000,1,0.001480444063280802
51,3,2,25,26,0.01,0.3,1,2,1,1,2000,1,0.0002594757258448622
52,3,3,25,26,0.01,0.3,1,2,1,1,2000,1,3.57331112154528e-10
53,3,4,25,26,0.01,0.3,1,2,1,1,2000,1,1.5895716574727228e-05
54,3,5,25,26,0.01,0.3,1,2,1,1,2000,1,0.0009976204032276286
55,3,6,25,26,0.01,0.3,1,2,1,1,2000,1,0.0004861468288178807
56,3,7,25,26,0.01,0.3,1,2,1,1,2000,1,3.149372834892173e-08
57,3,8,25,26,0.01,0.3,1,2,1,1,2000,1,3.132972879399292e-05
58,3,9,25,26,0.01,0.3,1,2,1,1,2000,1,2.8528439754531385e-06
59,3,10,25,26,0.01,0.3,1,2,1,1,2000,1,2.6224994206587323e-07
60,3,11,25,26,0.01,0.3,1,2,1,1,2000,1,0.024710575626631384
61,3,12,25,26,0.01,0.3,1,2,1,1,2000,1,0.0038880376851249824
62,3,13,25,26,0.01,0.3,1,2,1,1,2000,1,0.0030268621819412493
63,3,14,25,26,0.01,0.3,1,2,1,1,2000,1,8.492250614886802e-12
64,3,15,25,26,0.01,0.3,1,2,1,1,2000,1,2.737261240650347e-05
65,3,16,25,26,0.01,0.3,1,2,1,1,2000,1,0.03734407544739281
66,3,17,25,26,0.01,0.3,1,2,1,1,2000,1,4.791894605541621e-06
67,3,18,25,26,0.01,0.3,1,2,1,1,2000,1,1.743308330033596e-07
68,3,19,25,26,0.01,0.3,1,2,1,1,2000,1,5.539426179830698e-07
69,3,20,25,26,0.01,0.3,1,2,1,1,2000,1,0.0037526339374633864
70,3,21,25,26,0.01,0.3,1,2,1,1,2000,1,2.584922500640522e-07
71,3,22,25,26,0.01,0.3,1,2,1,1,2000,1,6.188036593439181e-06
72,3,23,25,26,0.01,0.3,1,2,1,1,2000,1,4.2100385308935166e-06
73,3,24,25,26,0.01,0.3,1,2,1,1,2000,1,2.430474441643971e-05
74,3,25,25,26,0.01,0.3,1,2,1,1,2000,1,1.7482627948583223e-08
75,4,1,25,26,0.01,0.3,1,2,1,1,2000,1,3.8599923066257707e-07
76,4,2,25,26,0.01,0.3,1,2,1,1,2000,1,2.1838652568686803e-06
77,4,3,25,26,0.01,0.3,1,2,1,1,2000,1,3.0486787072024855e-11
78,4,4,25,26,0.01,0.3,1,2,1,1,2000,1,2.067890321910352e-06
79,4,5,25,26,0.01,0.3,1,2,1,1,2000,1,0.0011542606776274607
80,4,6,25,26,0.01,0.3,1,2,1,1,2000,1,2.328122020971052e-10
