,from,to,method,action,result
0,X0,X7,GET,req,
1,X7,X12,GET,req,
2,X12,X23,GET,req,
3,X23,X13,GET,req,
4,X13,X8,GET,req,
5,X8,X16,GET,req,
6,X16,X1,GET,req,
7,X1,X9,GET,req,
8,X9,X6,GET,req,
9,X9,X6,GET,resp,2xx
