,from,to,method,action,result
0,X0,X17,GET,req,
1,X17,X7,GET,req,
2,X7,X24,GET,req,
3,X24,X14,GET,req,
4,X14,X20,GET,req,
5,X20,X18,GET,req,
6,X20,X18,GET,resp,2xx
7,X14,X20,GET,resp,2xx
