,from,to,method,action,result
0,X0,X22,GET,req,
1,X22,X2,GET,req,
2,X2,X15,GET,req,
3,X2,X15,GET,resp,2xx
4,X22,X2,GET,resp,2xx
5,X0,X22,GET,resp,2xx
6,X0,X22,GET,req,
7,X22,X2,GET,req,
8,X2,X15,GET,req,
9,X2,X15,GET,resp,2xx
10,X22,X2,GET,resp,2xx
11,X0,X22,GET,resp,2xx
12,X0,X14,GET,req,
13,X14,X23,GET,req,
14,X23,X9,GET,req,
15,X9,X19,GET,req,
16,X9,X19,GET,resp,2xx
