,from,to,method,action,result
0,X0,X22,GET,req,
1,X22,X2,GET,req,
2,X2,X5,GET,req,
3,X2,X5,GET,resp,5xx
4,X2,X5,GET,req,
5,X2,X5,GET,resp,2xx
