,from,to,method,action,result
0,X0,X18,GET,req,
1,X18,X19,GET,req,
2,X18,X19,GET,resp,2xx
3,X0,X18,GET,resp,2xx
4,X0,X6,GET,req,
5,X6,X14,GET,req,
6,X14,X15,GET,req,
7,X15,X17,GET,req,
8,X17,X11,GET,req,
9,X11,X1,GET,req,
10,X1,X9,GET,req,
11,X1,X9,GET,resp,2xx
12,X11,X1,GET,resp,2xx
