,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19,s_X20,s_X21,s_X22,s_X23,s_X24,s_X25
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X14_GET_req],2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,REST_X14,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,REST_X14,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5,[X14_X23_GET_req],5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0
6,REST_X23,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0
7,REST_X23,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0
8,[X14_X23_GET_resp_2xx],8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9,[X0_X14_GET_resp_2xx],9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,REST_X0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,[X0_X20_GET_req],11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,REST_X20,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
13,REST_X20,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
14,[X20_X21_GET_req],14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0
15,REST_X21,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
16,REST_X21,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0
17,[X21_X25_GET_req],17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,9
18,REST_X25,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,10
19,REST_X25,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,5
20,[X25_X7_GET_req],20,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
21,REST_X7,21,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
22,REST_X7,22,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
23,[X7_X4_GET_req],23,3,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
24,REST_X4,24,3,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
25,REST_X4,25,3,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
26,[X4_X2_GET_req],26,3,0,1,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
27,REST_X2,27,3,0,2,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
28,REST_X2,28,3,0,5,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
29,[X2_X1_GET_req],29,3,1,6,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
30,REST_X1,30,3,2,6,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
31,REST_X1,31,3,5,6,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
32,[X1_X13_GET_req],32,3,6,6,0,12,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,6,6,0,0,0,6
33,REST_X13,33,3,6,6,0,12,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,6,6,0,0,0,6
34,REST_X13,34,3,6,6,0,12,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,6,6,0,0,0,6
35,[X1_X13_GET_resp_2xx],35,3,13,6,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
