,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,path_len,path_count,sla
116,3,17,50,25,0.01,0.3,1,2,2000,1,0.0002841521934157244
117,3,18,50,25,0.01,0.3,1,2,2000,1,0.03764048085674648
118,3,19,50,25,0.01,0.3,1,2,2000,1,3.7700246370582884e-06
119,3,20,50,25,0.01,0.3,1,2,2000,1,0.03476870344454442
120,3,21,50,25,0.01,0.3,1,2,2000,1,1.7149943504432135e-06
121,3,22,50,25,0.01,0.3,1,2,2000,1,1.4620762429041622e-05
122,3,23,50,25,0.01,0.3,1,2,2000,1,0.0001351732380362464
123,3,24,50,25,0.01,0.3,1,2,2000,1,1.0484806334602217e-07
124,3,25,50,25,0.01,0.3,1,2,2000,1,3.414165741345451e-05
125,3,26,50,25,0.01,0.3,1,2,2000,1,4.942853027282831e-07
126,3,27,50,25,0.01,0.3,1,2,2000,1,0.00037109306316170283
127,3,28,50,25,0.01,0.3,1,2,2000,1,0.00020972418480040485
128,3,29,50,25,0.01,0.3,1,2,2000,1,5.424933855635261e-07
129,3,30,50,25,0.01,0.3,1,2,2000,1,0.00786401258091578
130,3,31,50,25,0.01,0.3,1,2,2000,1,0.0002328728601607173
131,3,32,50,25,0.01,0.3,1,2,2000,1,0.04077398396752811
132,3,33,50,25,0.01,0.3,1,2,2000,1,0.0009153251358539938
133,3,34,50,25,0.01,0.3,1,2,2000,1,6.048474796226488e-06
134,3,35,50,25,0.01,0.3,1,2,2000,1,7.139583673849876e-07
135,3,36,50,25,0.01,0.3,1,2,2000,1,0.01142091063422589
136,3,37,50,25,0.01,0.3,1,2,2000,1,0.003574954643751237
137,3,38,50,25,0.01,0.3,1,2,2000,1,9.03609452270233e-05
138,3,39,50,25,0.01,0.3,1,2,2000,1,8.657854356564748e-06
139,3,40,50,25,0.01,0.3,1,2,2000,1,0.009876987669417293
140,3,41,50,25,0.01,0.3,1,2,2000,1,1.5576573204726192e-07
141,3,42,50,25,0.01,0.3,1,2,2000,1,2.253103281427745e-06
142,3,43,50,25,0.01,0.3,1,2,2000,1,6.7062876947901014e-06
143,3,44,50,25,0.01,0.3,1,2,2000,1,1.2534254478770486e-06
144,3,45,50,25,0.01,0.3,1,2,2000,1,3.9369933599953986e-05
145,3,46,50,25,0.01,0.3,1,2,2000,1,0.0015787132256838404
146,3,47,50,25,0.01,0.3,1,2,2000,1,0.008392795659930402
147,3,48,50,25,0.01,0.3,1,2,2000,1,1.405894535954103e-08
148,3,49,50,25,0.01,0.3,1,2,2000,1,0.0015357494382632884
149,3,50,50,25,0.01,0.3,1,2,2000,1,1.5245059169245567e-07
150,4,1,50,25,0.01,0.3,1,2,2000,1,8.628771298198927e-06
151,4,2,50,25,0.01,0.3,1,2,2000,1,9.467391668801614e-07
152,4,3,50,25,0.01,0.3,1,2,2000,1,3.4014796005642096e-06
153,4,4,50,25,0.01,0.3,1,2,2000,1,7.662906205870873e-07
154,4,5,50,25,0.01,0.3,1,2,2000,1,3.5479441570977427e-12
155,4,6,50,25,0.01,0.3,1,2,2000,1,8.580617319002883e-07
156,4,7,50,25,0.01,0.3,1,2,2000,1,0.0005476104924046108
157,4,8,50,25,0.01,0.3,1,2,2000,1,0.0001668129257694515
158,4,9,50,25,0.01,0.3,1,2,2000,1,0.0005408923356589198
159,4,10,50,25,0.01,0.3,1,2,2000,1,1.5312857525985187e-09
160,4,11,50,25,0.01,0.3,1,2,2000,1,0.0001598991639887043
161,4,12,50,25,0.01,0.3,1,2,2000,1,2.4221188057691036e-05
162,4,13,50,25,0.01,0.3,1,2,2000,1,1.8799746696125125e-05
163,4,14,50,25,0.01,0.3,1,2,2000,1,3.1985949901520345e-09
164,4,15,50,25,0.01,0.3,1,2,2000,1,0.0003732129670209944
165,4,16,50,25,0.01,0.3,1,2,2000,1,0.002961085291356906
166,4,17,50,25,0.01,0.3,1,2,2000,1,1.0756019658403326e-13
167,4,18,50,25,0.01,0.3,1,2,2000,1,0.00012283845260548475
168,4,19,50,25,0.01,0.3,1,2,2000,1,4.817509174975726e-07
169,4,20,50,25,0.01,0.3,1,2,2000,1,2.2279807305847232e-08
170,4,21,50,25,0.01,0.3,1,2,2000,1,0.0027979840107534262
171,4,22,50,25,0.01,0.3,1,2,2000,1,0.0026164145545523776
172,4,23,50,25,0.01,0.3,1,2,2000,1,1.058920178338892e-07
