,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19,s_X20,s_X21,s_X22,s_X23,s_X24,s_X25
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X17_GET_req],2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,REST_X17,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
4,REST_X17,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
5,[X17_X7_GET_req],5,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
6,REST_X7,6,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
7,REST_X7,7,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
8,[X7_X24_GET_req],8,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
9,REST_X24,9,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0
10,REST_X24,10,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0
11,[X24_X14_GET_req],11,11,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,6,0,0,0,0,0,0,6,0
12,REST_X14,12,11,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,6,0
13,REST_X14,13,11,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,6,0
14,[X14_X25_GET_req],14,11,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,6,1
15,REST_X25,15,11,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,6,2
16,REST_X25,16,11,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,6,5
17,[X25_X18_GET_req],17,11,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,6,5,0,0,0,0,0,6,6
18,REST_X18,18,11,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,6,6,0,0,0,0,0,6,6
19,REST_X18,19,11,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,6,7,0,0,0,0,0,6,6
20,[X25_X18_GET_resp_2xx],20,11,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,6,3
21,[X14_X25_GET_resp_2xx],21,11,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,6,0
