,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19,s_X20,s_X21,s_X22,s_X23,s_X24
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X6_GET_req],2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,REST_X6,3,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,REST_X6,4,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,[X6_X23_GET_req],5,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,REST_X23,6,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
7,REST_X23,7,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
8,[X23_X21_GET_req],8,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
9,REST_X21,9,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0
10,REST_X21,10,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0
11,[X21_X18_GET_req],11,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,6,0
12,REST_X18,12,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,6,0
13,REST_X18,13,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,6,0
14,[X18_X3_GET_req],14,11,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,6,0
15,REST_X3,15,11,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,6,0
16,REST_X3,16,11,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,6,0
17,[X3_X13_GET_req],17,11,0,0,6,0,0,6,0,0,0,0,0,0,1,0,0,0,0,14,0,0,6,0,6,0
18,REST_X13,18,11,0,0,6,0,0,6,0,0,0,0,0,0,2,0,0,0,0,14,0,0,6,0,6,0
19,REST_X13,19,11,0,0,6,0,0,6,0,0,0,0,0,0,5,0,0,0,0,14,0,0,6,0,6,0
20,[X13_X17_GET_req],20,11,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,1,14,0,0,6,0,6,0
21,REST_X17,21,11,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,2,14,0,0,6,0,6,0
22,REST_X17,22,11,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,3,14,0,0,6,0,6,0
23,[X13_X17_GET_resp_2xx],23,11,0,0,6,0,0,6,0,0,0,0,0,0,3,0,0,0,0,14,0,0,6,0,6,0
24,[X3_X13_GET_resp_2xx],24,11,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,6,0
25,[X18_X3_GET_resp_2xx],25,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,0
26,[X21_X18_GET_resp_2xx],26,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0
27,[X23_X21_GET_resp_2xx],27,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
28,[X6_X23_GET_resp_2xx],28,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,[X0_X6_GET_resp_2xx],29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,REST_X0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,[X0_X5_GET_req],31,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,REST_X5,32,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,REST_X5,33,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,[X0_X5_GET_resp_2xx],34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,REST_X0,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,[X0_X6_GET_req],36,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,REST_X6,37,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,REST_X6,38,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,[X6_X16_GET_req],39,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,REST_X16,40,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
41,REST_X16,41,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
42,[X16_X19_GET_req],42,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
43,REST_X19,43,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
44,REST_X19,44,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0
45,[X19_X24_GET_req],45,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,1
46,REST_X24,46,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,2
47,REST_X24,47,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,11
48,[X24_X14_GET_req],48,11,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,6,0,0,6,0,0,0,0,12
49,REST_X14,49,11,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,6,0,0,6,0,0,0,0,12
50,REST_X14,50,11,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,0,0,12
51,[X24_X14_GET_resp_2xx],51,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,3
52,[X19_X24_GET_resp_2xx],52,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0
